time,ttfa_ms,to_speaker_ms,user_text
12:18:44,589,636,"What is the capital of Switzerland?"
12:18:49,577,623,"How many grams are in an ounce?"
12:18:55,624,673,"Romeo and Juliet"
12:19:08,1215,1264,"Here did the Berlin Wall fall."
12:19:17,504,552,"What's the boiling point of water in Fahrenheit?"
12:19:25,636,685,"How far is the moon from Earth?"
12:19:38,630,678,"How far is the moon from Earth?"
12:19:45,607,654,"What language do they speak in Brazil?"
12:19:50,523,572,"How many bones are in the human body?"
12:19:56,643,690,"This is the speed of light."
12:20:08,963,1012,"Is the Sun a star?"
12:20:18,603,652,"Do penguins live in the Arctic?"
12:20:27,665,712,""
12:20:36,667,713,"Can sound travel through space?"
12:20:49,596,644,"Is Mount Everest the tallest mountain on Earth?"
12:20:58,768,816,"Explain in one sentence why the sky is blue."
12:21:09,660,709,"Why do we have leap years?"
12:21:23,716,764,"Claud's thunder."
12:21:39,577,625,"Why does ice float on water?"
12:21:53,712,759,"How does a microwave heat food?"
12:22:09,955,1004,"How's it going?"
12:22:15,600,647,"Tell me a fun fact."
12:22:26,684,733,"What should I have for lunch?"
12:22:37,700,747,"Tell me a short joke."
12:22:46,621,670,"What's a good name for a pair of smart glasses?"
15:10:01,528,577,"Hello?"
15:27:52,442,489,""
15:27:59,1118,1168,"What's the capital of Switzerland?"
15:28:23,512,559,"I have to turn off the voice."
